,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Materials,Information Technology,Utilities
Consumer Discretionary,1.1304808764311949,0.5404508693273653,0.7643075694189162,0.8932666932105688,0.5370124982484799,0.812131064542874,0.7722277490598679,0.7967825911844104,0.3789314654705774
Consumer Staples,0.5404508693273653,0.8257508487174987,0.6716810491567082,0.6837352659580043,0.5482713267710433,0.5953767561695652,0.5897802558645987,0.4170550838531861,0.7137040275382003
Energy,0.7643075694189162,0.6716810491567082,4.163378386172659,1.3359109165965075,0.689013140700372,1.053561080163678,1.453626530365165,0.7335482906877557,0.6177737551266886
Financials,0.8932666932105688,0.6837352659580043,1.3359109165965075,1.4513259736308606,0.71859935991743,1.0062254903918948,1.0144412255858544,0.758924785957174,0.6392095021563033
Health Care,0.5370124982484799,0.5482713267710433,0.689013140700372,0.71859935991743,0.866773155075392,0.6263540305745929,0.6277803552689952,0.5621100531488664,0.5173808464917815
Industrials,0.812131064542874,0.5953767561695652,1.053561080163678,1.0062254903918948,0.6263540305745929,1.015641068181968,0.9147965971499765,0.7493412127174429,0.5469321534882846
Materials,0.7722277490598679,0.5897802558645987,1.453626530365165,1.0144412255858544,0.6277803552689952,0.9147965971499765,1.2895075786246992,0.7073149812448892,0.5762175720998371
Information Technology,0.7967825911844104,0.4170550838531861,0.7335482906877557,0.758924785957174,0.5621100531488664,0.7493412127174429,0.7073149812448892,1.2122628358202223,0.26569961920729596
Utilities,0.3789314654705774,0.7137040275382003,0.6177737551266886,0.6392095021563033,0.5173808464917815,0.5469321534882846,0.5762175720998371,0.26569961920729596,1.4045215858804554
