,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Materials,Information Technology,Utilities
Consumer Discretionary,13.347377157088351,6.178336740197377,14.71896665434215,12.497300506137954,8.132126667247414,9.666767892554557,10.165650851830629,10.199747173359068,11.26923894052204
Consumer Staples,6.178336740197377,5.157634323835665,6.215783614586064,5.853765888931725,4.475443407183884,4.9158413228019695,5.045508562355807,5.339345156038983,5.778416081078614
Energy,14.71896665434215,6.215783614586064,37.62998500191518,17.00547426904643,9.722383448643733,12.904633534514378,14.356740219279224,12.153728802960437,13.731815658429888
Financials,12.497300506137954,5.853765888931725,17.00547426904643,13.277600290371101,8.18295905729453,9.800872645585121,10.565397956016977,10.014160716091313,11.316923499464055
Health Care,8.132126667247414,4.475443407183884,9.722383448643733,8.18295905729453,6.249313727494647,6.443670250053141,6.658547640471515,7.040441508343524,7.504502178343665
Industrials,9.666767892554557,4.9158413228019695,12.904633534514378,9.800872645585121,6.443670250053141,7.708604632588197,8.175198375247488,7.8127755404398,8.435781705417682
Materials,10.165650851830629,5.045508562355807,14.356740219279224,10.565397956016977,6.658547640471515,8.175198375247488,9.238021535228299,8.138751102657867,9.115407800780241
Information Technology,10.199747173359068,5.339345156038983,12.153728802960437,10.014160716091313,7.040441508343524,7.8127755404398,8.138751102657867,8.955812025046312,8.872568264356241
Utilities,11.26923894052204,5.778416081078614,13.731815658429888,11.316923499464055,7.504502178343665,8.435781705417682,9.115407800780241,8.872568264356241,11.855759778129547
