,Mom   ,Mkt-RF,SMB,HML,RMW,CMA,RF,CPIAUCSL,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
1999-02-01,-0.16,-0.39,-0.02,-0.16,-0.15,-0.41,0.019,0.0,0.2272815540247386,-0.4089317801712511,-1.0078682777848957,-1.7184981225749851,0.5717275400580313,0.12855415770398615,0.8109251234925008,0.08261767965773714,-0.21220287827214968
1999-02-02,-0.49,-0.89,-0.23,0.31,0.08,0.75,0.019,0.0,-1.2564805280312896,0.8162626335923129,0.1446204277918639,-1.0723326476257178,-1.4933803420918323,-0.7736971084973732,0.07339470222311739,-1.7073072298352976,-1.3365665797758108
1999-02-03,-0.47,0.9,-0.36,-0.54,-0.54,-0.31,0.019,0.0,1.596344642587777,-0.34901315320157167,2.2858019097232063,0.7384778963233973,1.8917220487857822,0.9661788563025464,0.07334878776297238,0.7114427345556784,0.5367450184476485
1999-02-04,-0.83,-1.92,0.68,0.75,-0.14,1.69,0.019,0.0,-0.567145668581226,-0.4672494803907412,0.5634099553469163,-2.369012714951424,-0.7410000357440438,0.12815471734435313,2.890351530509827,-3.4793277364043362,-1.5102615827947474
1999-02-05,-0.84,-0.92,-0.42,0.79,-0.08,0.67,0.019,0.0,-2.534739320985002,-1.5339723616354828,2.7702514703206838,-0.8253125262597916,-1.1507220130417384,-0.3206364651495264,1.3442280085469882,-2.447688208817933,0.05433135119528032
1999-02-08,0.09,0.23,-0.62,0.36,0.4,-0.35,0.019,0.0,1.620374338478392,-0.1785109024728726,1.3568368999512526,-0.2766132942859656,-0.05788824466836928,0.3206364651495264,-0.4931108264173645,1.6674529660562154,0.0
1999-02-09,-0.35,-2.25,0.41,1.34,0.66,1.25,0.019,0.0,-3.1489378169472726,-1.8029249047601947,-1.9047866207420938,-1.3946527117690621,-1.8113302837994727,-1.3535394069485118,-1.9251823489788933,-3.995205216510156,0.43361563579402684
1999-02-10,0.43,0.27,-1.3,-0.5,0.68,0.12,0.019,0.0,0.0,0.7250484949604896,0.27432996556528977,0.8391373835334281,0.23555508481494236,0.38856657480628165,0.21571154311517127,0.7219921695141629,-0.705600623232705
1999-02-11,1.64,2.49,-0.94,-1.55,-1.04,-1.7,0.019,0.0,3.2063664366507094,1.6716864457794411,-0.8253313224261927,3.9595406182971082,2.6699418298600452,1.3483377312472733,-1.0108573564566292,4.139781308952184,0.4347778375359379
1999-02-12,-0.24,-1.9,0.23,0.51,-0.12,1.34,0.019,0.0,-1.794561744095624,-0.8323567268293086,-2.0935516669005505,-1.4834918717167245,-1.5003356705368898,-0.5756246188532543,-0.5092708075193908,-4.049812811582232,-1.6402339793393228
