,Mom   ,Mkt-RF,SMB,HML,RMW,CMA,RF,CPIAUCSL,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
1999-02-01,-0.16,-0.39,-0.02,-0.16,-0.15,-0.41,0.019,0.0,0.22731490345924144,-0.40899781211014563,-1.007912382126941,-1.7185702729367147,0.5718046385037923,0.1286196915781357,0.8110294677185603,0.08268403448736805,-0.2122157082993681
1999-02-02,-0.49,-0.89,-0.23,0.31,0.08,0.75,0.019,0.0,-1.2564593505481447,0.8163360612241988,0.14462061322060293,-1.0723502697627563,-1.4934823412980691,-0.7736953392720736,0.07341557605924365,-1.707299740194257,-1.3365941038360418
1999-02-03,-0.47,0.9,-0.36,-0.54,-0.54,-0.31,0.019,0.0,1.5964103506203031,-0.34909690600364307,2.2857975640972583,0.7385501707553033,1.8917207546717663,0.9662259433539155,0.07328293023349808,0.7114165020403185,0.5367896756002466
1999-02-04,-0.83,-1.92,0.68,0.75,-0.14,1.69,0.019,0.0,-0.5672659035313998,-0.4672391552205557,0.5633778250178523,-2.368992575284601,-0.7409650756434072,0.12809071478501188,2.8904134056376485,-3.479369090380624,-1.5102971171471857
1999-02-05,-0.84,-0.92,-0.42,0.79,-0.08,0.67,0.019,0.0,-2.5346686697771403,-1.533922523102671,2.7702171856216484,-0.8252738641724378,-1.150755679028359,-0.32062131886685385,1.344154440699974,-2.447626006126269,0.05433667830749833
1999-02-08,0.09,0.23,-0.62,0.36,0.4,-0.35,0.019,0.0,1.6204126197493895,-0.1785339629969407,1.356895631597288,-0.27666905096750405,-0.057898119948962545,0.32062131886685385,-0.49313042627785464,1.667432102428812,0.0
1999-02-09,-0.35,-2.25,0.41,1.34,0.66,1.25,0.019,0.0,-3.148959457243361,-1.802911805993812,-1.9047582261513707,-1.394735806795433,-1.8112985933656844,-1.353592634515799,-1.9251876259253287,-3.9952015128970064,0.43363379704328686
1999-02-10,0.43,0.27,-1.3,-0.5,0.68,0.12,0.019,0.0,0.0,0.7250752758444445,0.2743305365693782,0.8391252526931847,0.23557445718203063,0.38863436818314945,0.2157268868001605,0.7220228410744323,-0.705564407131698
1999-02-11,1.64,2.49,-0.94,-1.55,-1.04,-1.7,0.019,0.0,3.206354196116168,1.671670725744434,-0.825324361741675,3.9596338368795614,2.669945012468311,1.3482856653320052,-1.010827267716996,4.139697903243933,0.43478787111825845
1999-02-12,-0.24,-1.9,0.23,0.51,-0.12,1.34,0.019,0.0,-1.794592764339109,-0.832319207933363,-2.093588044527328,-1.4835615632561527,-1.5003258119075102,-0.5755805031836481,-0.509236006523972,-4.049810499299156,-1.640304947028115
1999-02-16,0.24,0.65,-1.27,-0.05,-0.2,0.1,0.019,0.0,1.2769068646717674,1.1869343955793088,-0.7077369323771343,1.4835615632561527,0.9259139411113448,0.5118129477874156,-0.9527669109087089,-0.45025450238398435,1.8028491922185363
1999-02-17,-0.12,-1.45,-0.43,1.09,0.31,1.03,0.019,0.0,-0.3466188352363897,-1.0080864888206253,-0.9992792155448349,0.4007123066546825,-1.042293020750984,0.0,-1.036210532047832,-2.2821859122808874,-0.7063635498073761
1999-02-18,0.25,0.92,-0.96,0.52,-0.21,0.55,0.019,0.0,0.11565742153458736,1.0670343737940957,0.28653112952166104,0.9950941860692897,1.272445737190031,0.0,0.7412194566501995,0.5525235247213711,1.7833793545676269
1999-02-19,0.05,0.25,0.08,-0.52,-0.26,-0.41,0.019,0.0,0.5188892284182511,-0.41356307261941616,-0.5738856196745967,0.329523294446199,0.28695811853696185,0.6360967172128973,0.8091289557541348,0.9140806387166744,-1.0770158047602507
1999-02-22,0.88,2.41,-1.31,-0.75,0.11,-0.72,0.019,0.0,2.498727134110812,2.109006013308079,1.002157129443093,2.8536228970475808,2.0981844176966913,1.5104139387562832,1.6709787218578853,3.4871923152827833,3.196892121593775
1999-02-23,0.37,0.09,0.18,-0.47,-0.49,-0.85,0.019,0.0,-0.5060794156870774,-0.17404766157933516,-0.8584018913935676,1.2706139977152642,-0.1685239987906595,-0.06242875166111439,-0.868359769948368,1.3094444411048123,-3.196892121593775
1999-02-24,-0.01,-1.31,0.48,0.26,0.11,0.35,0.019,0.0,-1.2478606013426763,-0.5824080903742868,-0.4319547223595954,-3.3379015085029273,-1.1874164278282695,-0.2503462140130974,-0.2910952682935619,-2.8145880125805434,0.9161823390812618
1999-02-25,-0.12,-0.69,0.1,0.13,-0.01,0.36,0.019,0.0,-1.148133674923324,-1.1751116032282738,0.5038053289759592,-0.6549077748896792,-0.9717567478591871,-2.025344114866856,0.0,0.2672527855880791,-2.1692736591111483
1999-02-26,-0.29,-0.49,0.16,0.37,-0.34,0.55,0.019,0.0,0.8622893023891187,0.2950831563849121,-0.6481833170740359,1.8229894930402502,0.28681379260158124,0.31915799718831295,0.0,-3.071626966560581,0.6012340780308989
1999-03-01,-0.14,-0.01,0.25,0.1,-0.29,-0.3,0.018,0.060698029177697066,0.05728660464732194,-0.47252181451109543,-1.016738560767827,0.38635872278782735,-0.17194089511169963,-0.06378201722019305,-1.1730324766938693,-0.4597099693389506,-1.4822901322327109
1999-03-02,-0.13,-0.69,0.32,0.52,-0.48,0.63,0.018,0.060698029177697066,0.2285577678868833,-0.29650254927249264,-1.0270874726338253,0.2567324142513261,-0.05744023524933972,-0.8325684094443453,-0.8888396193264203,-2.709225534185089,-1.5046263194447462
1999-03-03,-0.25,0.01,-0.73,0.16,0.24,0.21,0.018,0.060698029177697066,-0.5150290321301654,0.0,2.188204021499729,-0.9661460689548651,-0.6335093567115813,-0.5803817479788975,-0.67196774294076,1.690191811131303,0.056169517927751045
1999-03-04,-0.2,1.34,-1.0,-0.34,0.22,0.09,0.018,0.060698029177697066,2.100545030539358,1.356571809832685,3.543973626818575,2.240029214321071,1.7750690624016574,1.9218818920633929,0.29915909549176334,1.019033723053786,1.5590142613554736
1999-03-05,0.85,2.04,-1.26,-0.66,0.37,-0.25,0.018,0.060698029177697066,2.9885848322168673,1.5116456904444853,1.862772054461459,2.500192369826282,2.2447825172347446,2.1965251379540085,3.3054522515320706,2.2779520707535195,1.6981884081729515
1999-03-08,0.5,0.66,-0.41,-0.81,-0.71,-0.91,0.018,0.060698029177697066,0.4353102515151086,0.4605714517113668,1.4251645369559363,-0.6813223489655407,0.11090809580376337,0.5571306736585235,0.6482542123453783,2.842059794025964,-1.1472271530464262
1999-03-09,0.46,-0.23,0.08,-0.33,-0.12,-0.32,0.018,0.060698029177697066,0.2710688585737753,0.11486924000720933,-1.0840220354817465,0.8046574424754205,-0.7790904413397914,0.4925588043737328,-0.8651594516744687,-1.0562810415992718,-0.2751052695253442
1999-03-10,-1.29,0.52,-0.02,-0.15,-0.71,0.1,0.018,0.060698029177697066,-0.2710688585737753,-1.0961254545374999,5.564372806693241,1.8326628919029808,0.8899343548990579,-0.18435146606945452,1.3664498929692126,0.0,-0.3311317456105467
1999-03-11,-0.14,0.73,-0.77,-0.01,-0.02,0.11,0.018,0.060698029177697066,1.079920740035245,0.9812562145302905,1.4076001984124176,0.48313173098581963,0.6622236024289574,0.12293479536227281,1.0656768268152206,-0.1771546739490759,0.7709636872992309
1999-03-12,-0.79,-0.32,-0.35,1.14,-0.09,0.51,0.018,0.060698029177697066,0.4287430923783919,0.8579016648051496,-0.38189762680764794,0.1805230159645177,-0.5515512687495949,0.3068363333646129,-0.4249531410599694,-0.8904827110430169,1.0911014523321327
1999-03-15,0.7,0.94,-0.49,-0.75,-0.48,-0.48,0.018,0.060698029177697066,0.2136623936179305,0.8505418718856905,-0.7683039749056597,0.30023369657374843,0.33128399142983156,-0.2454196626574312,0.21271371811817374,1.5971904169247875,0.270899192257712
1999-03-16,0.18,-0.15,-0.24,-0.57,0.19,-0.25,0.018,0.060698029177697066,-0.5350494486001001,0.4507424460415077,-0.5154614439132121,-1.4492977437308596,-0.22074376565366371,-0.6779758430368155,-0.4258120821160283,1.7019892367660105,-0.37950016370675854
1999-03-17,-0.79,-0.55,0.14,0.76,-0.84,0.0,0.018,0.060698029177697066,-0.43016140783591617,-1.7007513443102695,2.5511557949407404,-0.8552308394564001,-0.5539958072672935,-0.1856543467652294,-0.2849058203121757,-0.6512012321612914,-0.9276898138096179
1999-03-18,-0.16,1.27,-1.19,-0.12,-0.08,-0.37,0.018,0.060698029177697066,1.7094631741333188,1.7007513443102695,1.2515866414128052,2.3045285831872597,1.3792722545610037,0.24753385378448733,2.1172373171052694,1.3840947705600293,1.4693586894282795
